Sno,Title,Experience & Benefits delivered
68,Development of Procurement Target Operating Models,Previous roles include SVP Supply Chain Procurement at The Marketing Store a HAVI Company Director Head of Procurement Centre of Excellence at Arm Ltd Procurement Director Global Business Services at Smith  Nephew Plc
69,Procurement Support for MSP and VMS Selection for Contingent Workforce , Head of Category HR and Marketing at Smith  Nephew Plc
70,Marketing Procurement Support for Digital Solutions, Interim Senior Project Consultant at Paragon Customer Communications Head of Category HR and Marketing at Smith  Nephew Plc
71,Automotive Cost Reduction Strategy, Proven Track Record 11 years of experience across Nissan VWAudi Group and others delivering over 10 savings in year one Expertise in Technical and Commercial Cost Reduction Specialising in direct commodity groups with a strategic approach to cost management
72,Electronics Manufacturing Cost Optimisation, Extensive Industry Experience 14 years in defense and automotive sectors including Nissan and McLaren with a track record of significant savings Strategic and Tactical Expertise Proven ability in both strategic planning and tactical implementation for cost reduction in electronics manufacturing
73,Marine and Cargo Handling Solutions Cost Optimisation, Proven Marine Sector Expertise 14 years with Cargotec MacGregor and Hiab achieving 15 Y1 savings
74,Cost Reduction for Complex Technical Commodities, Diverse Technical Expertise 14 years across top manufacturers driving significant savings
75,Delivering Cost Efficiency in Highly Regulated Industries, Regulated Industry Specialisation 14 years in defence automotive and marine with a focus on compliance and savings
76,Optimising Internal Combustion Engine Manufacturing Costs, Engine Manufacturing Expertise 4 years with Perkins Cummins Stellantis delivering significant savings
77,Defence Sector Cost Reduction and Sourcing Strategy, Defence Sector Proficiency Specialised experience in nuclear and electronics within defence ensuring strategic procurement and cost management
78,Outsourced Managed Services - Post Contract Management,Aviva Insurance 2023 Responsibility for SLA obligations monitoringupdating dashboards  assisting with short term BAU commercial issues Tracking commercial issues for resolution including changes with Outsourcing PartnersEuropean Bank 2020 Engaging with Outsourcing Partner SRM on IT Service Delivery  Implementation in order to progress with relevant change documentation Survitec Group 201719  Managed post service delivery on IT outsourcing contract by way of regular meetings with Partner SRM Managing process for delivery and payment of services through SOW monitoring  sign offComputer Sciences Corporation 201417 Dealing with third party suppliers in relation to post contract management service delivery Managing suppliers assisting with renewals and termination Working on improving processes templates and playbook
79,Best Practices for Dispute Resolution in Commercial Contracts, CSI 2023  Effectively managed a commercial RPI dispute by consolidating all correspondences documents and relevant contracts to form an opinion using clauses from a contract document secured 75K which the Client agreed to pay CSI 2023  Commercial Dispute over annual RPI increase fee with an existing Client circa 6k effectively agreed with own business  CFO to agree to waive this fee in return of new long term business commitment with Client European Bank 2020  Commercial dispute with an Outsourcing Partner over full time project resource requirement effectively managed this dispute through negotiation with SRM and drafted wording accordingly to reflect an outcome agreed by both parties CSC 201617  Dispute with Canon Print Suppliers over fixed term contract termination used a technique of leveraging other contracts with the supplier to terminate the contract without a fee Capita 2012  Commercial Handheld devices dispute circa 80K with supplier through effective negotiation agreed a rebate sum of 50K to be paid over three years in instalments thus avoiding litigation for both parties Lumley Letsure Ltd 200506  Landlord  tenant disputes acting for Landlords to recover tenants rent for the Insurance company through effective negotiation with the tenants obtained payments of rent from most defendants without taking litigation route 
80,Procurement of Building Maintenance and Repair Services, Built Vendor of Record shortlist of preapproved suppliers ME HVAC Construction Architects to ensure any tendered requirements were issued only to quality suppliers capable of meeting companies rigorous requirements Vendor Managed Inventory VMI programmes for production line spares and vehicle spares  Supplier provided and managed an onsite inventory free of charge  Payment was invoiced on parts being issued from stores giving continuity of supply and improving cashflow Worked with suppliers and internal stakeholders to provide reduced cost not reduced quality products to meet company requirements but reduce costs to the business  Examples included PPE maintenance spares janitorial products etc
81,Security Services and Systems Procurement, During a 25m factory refurbishment worked with architect and internal stakeholders to design and install a security system with 120 cameras throughout the facility  Requirement had to meet strict regulatory requirements as client was in the pharma sector Worked with multiple clients to understand security staff requirements  Agreed scope of works and tendered those requirements on behalf of client producing cost savings while ensuring supplier was capable of meeting client requirements 
82,Cleaning and Sanitation Services Procurement, Worked with a client in pharma manufacturing facility to update their cleaning procedures to improve cleanliness levels within the site Completed 10 tenders for office or facility cleaning services building scope of works alongside the client and ensuring the winning bidders provide a quality service at best price Worked with clients to review cleaning supplier performance against agreed KPIs
83,Waste Management and Recycling Programs Procurement, Set up framework agreements for public sector organisations covering a wide range of waste management services from dry mixed waste to metals and electronic equipment   Worked with central government organisation on a process to support circular waste management allowing recyclable waste to remain and be reused in the UK instead of being shipped to South East Asia Set up multiple agreements for UK and Canadian organisations for waste management services ensuring robust systems in place for waste recycling 
84,Landscaping and Grounds Maintenance Procurement, Worked with a public sector client to tender their landscaping requirements This organisation managed a large number of castles and palaces so the landscaping was critical in customer enjoyment of their facilities  To ensure consistency across all sites a  single supplier was selected  The volume of sites allowed us to ensure a strong supplier was selected and that we could make significant cost savings for the organisation Worked with a large local authority to cover their landscaping requirements for their parks and gardens Liaised with landscaping team to agree specifications for each of the sites and tendered to select a single supplier for the authority  Carried out tender process for multiple manufacturing organisations
85,R&D Services Procurement for Innovation,    Worked for RD client in the renewables sector purchasing products such as a hexapod to help analyse wave movement on structures a realtime simulator for  lidar units to measure wind speed  direction
86,Procurement of Scientific and Laboratory Equipment, Worked with a pharma company to retrofit a 90000 sq ft facility into a 30000 sq ft RD facility and 60000 sq ft manufacturing site to produce cannabis products Supported the client in sourcing high tech lab equipment for a facility to meet tight timescales and budget  Worked with the internal and external stakeholders to manage shipment of equipment to minimise cost to the client Set up consignment stock contracts for laboratory spares and raw materials ensuring continuity of supply and supporting company cash flow
87,Health and Safety Equipment and Services Procurement, Worked with a client who ran the largest limestone quarry in the world  With safety my first priority worked on a programme to install reverse cameras and reverse sirens on all 400 vehicles operating on the site  The volume of equipment led to challenges with availability and installation however utilised this opportunity to leverage significant discounts in negotiating contract pricing Worked with pharma client to implement a revision of safety equipment to reduce costs  This involved extensive testing of coveralls masks and gloves from a variety of manufacturers for use in a cleanroom environment  The technical team evaluated these products on a variety of levels including robustness comfort etc Built vendor managed inventory systems where suppliers provide products free or charge only invoicing as the products are issued from stock  This process ensures continuity of supply of critical products and helps to improve company cashflow
88,Real Estate and Lease Management Services Procurement,    Experience of working with clients to understand their business requirements and growth expectations  Researched the market place for new office buildings to meet client needs    Negotiating lease terms with landlords for a variety of properties    Worked with real estate companies to sublease existing leased properties to ensure our costs were covered and risk to the business reduced 
89,Spend Analysis and Cost Reduction Strategies, For several clients have set up cost saving reports and supporting procedures to ensure accurate cost saving reporting throughout the Procurement teams Carried out deep dives into equipment spare parts usage to individual machine level  This allowed us to compare identical machines used by different sites across the world and analyse parts usage  Individual sites often used different maintenance approaches so worked with client to ensure the lowest cost options were implemented across all sites
90,Change Management in Procurement, Worked in this arena for a significant number of years with both large and small businesses Alignment of business objectives to process mapping Development and management of KPIs to bring organisational divisions together Review and alignment of underpinning contractual agreements
91,Third-Party Logistics (3PL) Services Procurement, From 201821 acted as Interim General Manager for an Open Book 3PL provider into Boots  Developed KPI set and produced monthly accounts for approval by the client  Delivered 5m saving by recycling and reuse of redundant stock held in excess of 6 years  In 2023 renegotiated 3PL provision for Bosch Rexroth in the UK  Provided seamless integration into Bosch assembly operation Negotiated alignment of WMS into Bosch SAP system for greater visibility of materials of on hand  Identified non moving stock and a plan to deep store within the 3PL provider at reduced cost   Have worked with various clients on identifying space requirement in house and the provision of 3PL warehousing solutions for external space required 
92,Packaging Solutions and Materials Procurement, In 2023 worked on a major project with a client who wanted to assemble motor parts in Mexico for shipping onwards into the USA Parts were manufactured in the UK and then shipped to Mexico Significant risk of rust and physical damage demanded wood and plastic packaging which unless returned to the UK could not be recycled  Created a wooded box that could be reconstructed so as to ship finished motors onwards into the USA Worked with DS Smith on a cardboard recyclable alternative to all plastic protective packaging  Negotiated cost and MTO criteria 
93,Supply Chain Risk Management Advisory, Identifying Supply Chain Risks Have previously supported 202324 Congo USA Prime Energy Drinks and Trip CBT drinks in identifying and mitigating just in time supply chain issues Identified manufacturers in EU and UK as co packers and then mapped out the supply chain to enable manufacturing in various locations  Developing Risk Mitigation Strategies Worked with Bosch 2024 to reduce substantial risk in the global supply chain as manufacturing and assembly process improvement outstripped the supply chains ability to supply on time Renegotiated individual suppliers commitments identified new suppliers and engaged with the supply chain in order to maximise their output to meet increased demand   Implementing Risk Management Frameworks 201822 Built what if scenarios with suppliers feeding into Boots for a number of time critical retail projects  Fenty launch and Boots No7 rebrand  Crisis Management and Recovery Planning 2024  Embedded myself at the request of Bosch Rexroth into a heat treatment supplier who had experienced a catastrophic fire  Estimated time for recovery 12 weeks reduced to 4 weeks  Ensured that I was a physical presence day and night on site  Managed and supported the supplier and sub contractors to build and deliver a recovery plan  Acted as the voice of the supplier into Bosch Rexroth and as the voice of Bosch Rexroth back into the supplier  Constantly work with supply chains by engaging with them closely and fostering an environment of trust where risk can truly be analysed and mitigated against   Build individual plans with suppliers and feed these bespoke plans into the business plan for the client  Identify risk collectively and individually and produce plans that can be implemented if a crisis occurs   
94,Managing Supply Chain Efficiency and Performance, 2022onwards Carried out supply chain training on behalf of the Supply Chain Academy into various clients lecturing and supporting MBA supply chain management students    2023 Worked with Bosch Rexroth on their global supply chain evaluating inefficiency and opportunity for continuous improvement  Identified and adapted best practice from Bosch automotive into Bosch heavy manufacturing operation  2021 Provided best practice in supply chain improvement and benchmarking into retail operations for Boots Typically supply chain will measure itself on its ability to deal with the day to day ambiguities and successful fire fighting will be celebrated  There is usually a disconnect between the overarching strategy and the day to day activity with supply chain teams unable to provide bandwidth to deal with bothI always look to understand the process and objective first and then work with the teams to understand how to move away from the daily tasks using lean approaches and automation so that they can concentrate on a more  structured approach to achieving the bigger objectives through data management and KPI reviews both internally and externally
95,Reverse Logistics and Returns Management Strategies, Worked with Amazon on their global reverse logistics operation with measurable success more recently with Boots on their Goods Not For Retail operation looking at recycle and reuse and their GNFR carbon footprint to drive a sustainable approach to their fixtures and fittings operationReverse logistics is the necessary evil of commerce and requires a creative approach based upon data and analytics to leverage the best solutions It is critically important to map the process to understand the opportunities to make the process leaner and to understand what leverage is required to engage specialist third party support so as to repair recycle and reuse wherever possibleReverse logistics data should also be used to ensure that the reverse logistics route is in fact the correct solution is the return a true return or is it the easier option
96,Enhancing Supply Chain Transparency and Traceability, In 2023 engaged with multiple suppliers for Bosch to create standard work in documentation and transparency exercises     In 2021 developed a bespoke warehouse management system for an Open Book supplier of Goods Not For Retail into Boots  Built a team to provide a bespoke IOS based system that catalogued all goods and managed the warehousing thereof Provided a cataloguing solution that interreacted with Boots Arriva system whilst not compromising Boots IT systems and governance Developed a carbon footprint tracker for all GNFR being used in store  From 202223 investigated enhanced and trained out planning transparency system for a Poultry FMCG supplying ready meals into the major high street multiples 
97,Software License Asset Compliance Management, European Bank 2020  Provided an overview to the bank by consolidating data on its software licenses usage including renewal  termination Survitec Ltd 201719  Consolidated software license data on a dashboard with user quantity utilisation and license type Computer Sciences Corporation 201517  Supported Software Asset Management Lead in tracking hardware asset information software license information utilisation  associated contractual vendor data
98,Effective Strategic Procurement Transformation, Transformed multiple departments in various organisations including staffing hiring the team for delivery  Set up shared service department P2P and Procurement Business Partnering  Developed and implemented new POM Procurement Operating Model Delivered P2P transformation implementation projects
99,How to develop a Long-Term Procurement Strategy,I have implemented long term procurement strategies in multiple roles and organisations JnJ Greensquare APCOA and most recently EBITTogether we would be looking at your organisational objectives and analyse the current support structures to evaluate the GAP redefine Operating models procedures and resourcing levelsFollowed by an analysis of options to provide an effective procurement function that delivers VFM to the business and its stakeholders
100,Effective Change Management in Procurement,I can help you to identify required changes within your Procurement function I have done this in the past for a number of UK High street retailersI would be bringing people onboard to accept change and highlight the opportunities that change can bring I would be leading through tough and challenging conversations and assist in finding best possible next steps and action
101,P2P Transformation & Optimisation,P2P transformation is systems driven and needs an understanding of workflows responsibilities and approval and delegation levels this is where I come in and guide you through the process I have worked with multiple P2P systems InTend Proactis Ariba Coupa and others and was responsible for the setup implementation of Ariba in a 500m business in Leeds that is part of the JnJ group
102,Building a Shared Service Centre for P2P, Implemented Shared Service Centres for multiple organisations Benefits included reviewing the needs of the business to provide clear assessment and way forwards to drive forward benefits of a Shared Service model in the P2P environment
103,Embedding SRM Best Practice in Procurement, Delivered SRM development programs for underperforming providers Managed the exit of providers Worked with providers to improve performance and service delivery
104,Compliance Policies & Process for OJEU,When I was working for a Housing association and setting up the Procurement function I had to apply and adhere to compliance and regulatory requirements as well as OJEU regulations The Housing association included 7 legal entities with a spend of 350m I reviewed the existing policy and procedures involved the compliance department to rewrite new policies and procedures that are aligned to the existing requirements Aligned with the compliance department the messaging of compliance first got rolled out across the entire housing association
105,Best Practice for Category Management & Stakeholder Engagement,I have looked after most Categories throughout my career in practically all my previous rolesI can help to review current process and analyse where you are in terms of Category management I then can help to find the right model by segmenting spend and looking at it with a new fresh pair of eyes to determine additional value Category management in not reduced to high volume high spend areas as you could readily have a TAIL Spend that needs considering
106,Corporate Travel Management Procurement, Worked with and analysed all the major Travel management companies to source the most suitable supplier for a number of global corporations realising cost benefits of 1520 through the creation of a centralised Travel policy Standardised and revised employee limits leveraged hotel rail and air deals all via an easy to use booking tool complete with centralised reporting and adhering to the duty of care requirements In depth knowledge of the Travel management market the leading suppliers their capabilities and able to identify the most suitable to match the individual business need Track record of successfully selling in a Travel Management organisation to a variety of businesses through close engagement understanding and a detailed knowledge of the benefits the solution brings
107,Corporate Fleet Management Strategies, Worked with leading global and UK only fleet management companies to deliver significant cost savings around 20 and operation benefits through lease reviews consolidation policy changes insurances vehicle suitability and commuting reviews Key contacts and relationships across the fleet management industry as well as within direct vehicle leasing
108,Fuel Audits and Management Optimisation, Delivered fuel management solutions to a number of global businesses moving from a fragmented set up with limited visibility and little auditing to a fully managed transparent set up with all fuel card usage checked and approved and personal vs private mileage scrutinised to eradicate fraudulent and other misuse Resulted in a cost reduction of 1520 Indepth knowledge of the fuel management and fuel card global market and key contacts at leading suppliers
109,Catering and Hospitality Procurement Solutions, Worked with a large number of both small bespoke catering and hospitality companies and large corporations to deliver innovative solutions including workplace restaurants cafes pop up stalls and other food and beverage services tailoring these to the individual businesses and using on site resources wherever possible Key supplier contacts across a very wide range of suppliers from the small start ups with strong social and environmental credentials right through to large global corporations 
110,Employee Wellness & Leisure Services Procurement, Delivered a number of leisure and wellness services to a broad range of organisations including the management and running of on site gym and swimming facilities exercise classes and other employee benefits tailoring these to the needs of the business Key industry contacts at both very small set ups and start ups offering individual wellness and other bespoke employee services through to large corporations capable of providing services and management of existing set ups
111,Office Supplies and Furniture Procurement, Delivered office supply solutions to medium to large UK and global corporations using sustainable end to end supplies and supply methods reusable and recyclable materials and products that hold environmental credentials  Enabling businesses to meet ESG reporting requirements Use of bespoke solutions wherever possible and taken a holistic approach that encompasses the end to end provision of all office supplies Key contacts at a number of suppliers with a proven track record for innovation and delivery
112,Branded Goods and Promotional Items Procurement, A very wide range of experience sourcing branded materials from small bespoke items for one off requirements through to large mass production items needed for large promotional events  Track record of delivering value and savings whilst working only with suppliers that meet all ESG requirements and exceptional service Experienced working closely with Marketing teams to ensure brand awareness is recognised items are effective and value for money Key contacts across a wide supplier base
113,Print and Stationery Procurement for Marketing and Communication, In depth knowledge of the print industry including all forms of digital and litho print long and short run and key supplier contacts at a very wide variety of suppliers both in the UK and globally Track record of delivering cost savings through effective use of the most appropriate suppliers ensuring quality is never compromised  Delivered printed communication solutions resulting in multi million pound cost savings through rationalisation of supplier base and use of most appropriate and innovative technology
114,Energy Procurement for Cost Savings and Sustainability, Delivered a new Energy Procurement strategy based on flexible procurement and market rates to bring significant cost savings to a number of large high energy use manufacturing organisations Made cost savings through reduced energy usage strategies following auditing programmes Wide ranging key industry supplier contacts across both Energy Procurement and energy usage analysis
115,Marketing Agencies Selection and Management, Experience and expertise in managing and balancing the needs of the Marketing team the budget and the business requirement through negotiation and close stakeholder management Expert in engaging with key suppliers utilising existing relationships and ensuring that Business and Marketing needs are fully understood Supplier contacts and extensive supplier knowledge of marketing agencies Cost savings of up to 20 negotiated on multiple occasions
116,Procurement of Printed Marketing Communications, Delivered significant cost savings and cost reduction through the rationalisation of all printed communications using the most appropriate suppliers offering the best pricing and service  but also crucially having the right facilities to produce comms in the most cost efficient manner In depth wide ranging supplier and market knowledge including the latest technology and technical know how  Experience of working both directly for print manufacturing and print management companies
117,Graphic and Web Design Procurement Strategies, Have worked with Top 10 UK design agencies sourcing graphic design for print and web post production and digital wireframe design Over 30 years experience in selecting briefing and managing design and creative services
118,Marketing Print and Production in Procurement , Over 30 years experience in selecting briefing and managing design and creative resources Have delivered successful projects in graphic design for web and print wireframes and brand development
119,Media Buying : Strategic Sourcing, Extensive experience buying broadcast print and digital media including PPC and Paid Social Qualified in Google Analytics GA4 and the calculation of metrics such as CROI CPM CTR and CoA
120,Freelance Staffing for Marketing Projects, Decades of experience in selecting briefing and managing Freelance talent for design coding and implementing Digital Marketing projects Staffed and managed projects up to 500K including experience in eCommerce FinTech Manufacturing Retail and Tech sectors
121,ICT Development Procurement Strategies (Information Communication Tech), Substantial experience in selecting briefing and managing ICT developer teams at levels from Coder to Systems Architect Experience in FinTech eCommerce Sportsbetting and enterprise software including manufacturing 
122,Procurement of Mobile Apps ,Jeremy has considerable experience in mobile app development including nearshore development services in Budapest and Poland He has selected briefed and managed individual freelance staff and development companies as well as running his own company operating in this area
123,Procurement of Website Development Projects , Substantial experience in the strategy and implementation of rich function web sites including SAAS and MIS Worked for agencies and clients Experience covers FinTech eCommerce Manufacturing Retail and sportsbetting
124,"Freight, Last Mile Delivery, and 3PL Optimisation", Substantial experience in the strategy and implementation of Third Party Logistics and Cloud eCommerce systems including API development SAAS and MIS  Worked for agencies and clients Experience covers eCommerce Manufacturing and Retail
125,Web Hosting and Cloud Platform Procurement, Substantial experience in the strategy and implementation of rich function web sites and Cloud eCommerce systems including API development SAAS and MIS  Worked for agencies and clients  Experience covers FinTech eCommerce Manufacturing Retail and sportsbetting
126,Systems Architecture Design in Procurement,  substantial experience in the strategy and implementation of rich function digital marketing platforms and Cloud eCommerce systems including API development SAAS and MIS He has worked for agencies and clients His experience covers FinTech eCommerce Manufacturing Retail and sportsbetting
127,Start-Up Strategies in Distribution & E-commerce: B2B and B2C Insights, Delivered Big Bang  Soft Launch Programmes Delivered Sourcing Considerations and Social Environments Costed MHE Requirements  Aligned with Operation Health  Safety Requirements documented and assigned Go Live Readiness and Mitigation  Collaborated with IT Current Platforms and capabilities with Infrastructure  Agreed IT Hardware Requirements including Peak Requirements Restructured Release times Increasing Productivity and Efficiency  Outlined development Opportunities  Leveraged Current with New Courier Opportunities  Increased Product Availability Instigated Courier Performance Review Stretched Pick  Pack KPIs  Clearly defined Outbound Shipments Defined Returns Process and KPIs
128,Operational Recovery: Reviving Warehousing & Distribution Centres, Delivered Operational Control Defined Reports Improved Performance across all functions  Increased Customer Service Results Reduced Returns  People Process Discipline   Accountability Improvement  Responsibility
129,Logistics Business Consolidation opportunities, Improved Operating Costs Removed Disjointed Operations Improved Efficiencies Raised Growth Opportunities Constructed Clear Communications   Drove BottomUp Change through SubCommittees  Enhanced Training and Personal Development Created Standard Way of Working Reconfigured Operational Layout Utilised IT Equipment Gave Realistic Approach to Consolidation Agreed Clear Escalation Route  Engaged Capacity Plan BAU  Peak
130,Scaling Logistics Operations: Agile & Sustainable Growth, Delivered 247 Operation Leveraged Portfolio Estate Increased Site Inbound volume by 55 Combined Increase 73 Increased Outbound B2B Volume by 140  Combined Increase 280 Delivered Succession Plan  Uplift Delivered Control and Consistency Mitigated Risks to B2B and Fulfilment 
131,Evaluating True Cost to Serve: Analysing Warehousing & Distribution costs, Delivered 400k Cost Savings Categorised Product Range Agreed Removal Strategy  Increased Warehouse Capacity  Increased Sales Opportunities  Increased ValueAdded Service Opportunities Standardised Packaging Requirements 
132,WMS Implementation & UAT: Smooth Transition Best Practices, Delivered Seamless System Integration Delivered Collaborative and Cohesive Teams  Validated Fit for Purpose Captured All Revenue Streams Delivered Standard Operating Procedures Delivered Flexible MultiSkilled Workforce Captured and Reported Lessons Learnt  
133,Business Change Management in Logistics: Minimising Disruption, Delivered 12 million cost savings  Scaled down operation  Removed necessity of nightshift Removed weekend working Moved nightshift Inventory Team to AM  PM Shifts Reconfigured Product Storage to maximise current requirements Changed Order Release strategy minimising Peaks and Troughs  
134,Logistics Process Mapping: Enhancing Operational Productivity, Gap Analysis delivered Standardised Process Activities Consistently delivered across 247 operation Delivered Improved productivity and efficiencies  Introduction of semiautomated and automated systems  Skills and Training matrix identified
135,Enhancing SOPs in Distribution: Audit & Operational Upgrade, Created SOPs for 350 colleagues for a new startup Captured skills gap analysis Aligned Physical and written SOPs ensuring no breaches of Health and Safety  Enabled training plan to meet the needs of the business   Delivered Multiskilled workforce Stabilised and delivered consistency across 247 operation  Delivered robust operational teams Delivered Best Practice Picked low hanging fruit quick wins increasing productivity and efficiencies  Set up internal Audits and scheduling  Set up version control documentation 
136,Core Cloud Services Procurement Strategies, ELA and migration funding with all core cloud suppliers alongside broader supplier relationships Strategy development and execution on cloud workload strategy Have built this across multiple industries as organisations modernise their platforms High discount levels with cloud suppliers whilst limiting upfront commitment
137,Procurement of ERP and Core Business Functions, ERP migrations fromto Oracle and SAP This delivered over 100m in savings as part of BTs MFB programme ERP negotiations and recontracting across multiple industries most recently at Asda Associated ERP negotiations eg HR Payroll P2P and S2P etc
138,Software and SaaS Procurement Expertise, Experience with most tier 0 and tier 1 softwareSaaS suppliers Alternate approach to rebuild commercial models with suppliers based on understanding technology and business requirements
139,Hardware / Infrastructure / Mainframe Procurement, Experience in negotiating and migrating IBM mainframe and Power systems across multiple industries Broad hardware experience eg end user compute physical server infrastructure datacentre etc Approach of disrupting traditional customersupplier relationship in this space eg thirdparty support end of life support etc
140,Procurement of IT Professional Services , Experience in renegotiating and shifting approach with professional services firms Experience with most professional services firms as well as a view of what discounts and rate cards are possible Strategic view and relationship with professional services spend to negotiate alternate commercial models and rebates based on the businesstechnology requirements
141,Dry Food Ingredient Sourcing Strategies, Introduced additional routes of supply from multiple country of origins for pasta and cous cous category to navigate around extreme weather events across Europe Resourced basket of key ingredients from China along side Europe to mitigate impact of weather events and take advantage of lower supply chain costs after Covid Implemented tactical stock build of UK sourced sugars to navigate around new season shortage and introduced new European based suppliers to suppress cost  Tendered basket of key ingredients herbs spices and vegetables from Far East and Europe to create savings in garlic onion peppers potato herbs  spices Led introduction of Group Procurement synergies for key ingredients across three countries with implementation of group contracts for pasta starch and skimmed milk powder ensuring product development matching factory trials technical and customer approval were completed prior to rollout
142,Packaging Sourcing Strategies for Dry Blended Food Products, Knowledge of corrugate cartons paper consumables flexible plastics and rigid plastics sourced from Europe and UK as well as further afield Implemented plans to identify trial and introduce recyclable materials for all packaging types used within three dry food ingredient manufacturing facilities which meet current OPRL guidance Ensured that all introduced recyclable materials are able to meet or exceed existing desired shelf life requirements Completed RFP on flexible lidding materials resulting in introduction of new supplier following factory trials and lower ongoing purchase price Completed introduction of post consumer recycled content into secondary plastic packaging Completed change of cardboard grades used in wraparound pot sleeves for instant hot snack products Completed move from PE to OPPCPP on all unprinted film lines to remove weight and cost without compromise to shelf life or factory operations
143,Risk Management & Mitigation in Dry Food Manufacturing, Have navigated a food manufacturing business with annual turnover of 150m through multiple scenarios such as Brexit Covid war extreme weather conditions and other geopolitical events minimising impact on factory operations with continued availability of 3000 ingredient and packaging SKUs across 550 suppliers and 85 complex material categories Have implemented strategies to include multiple origin sourcing  geographical spread stock holding agreements options for supply via land sea and air and leveraging wider group supply synergies across multiple countries to ensure minimal disruption and good cost control
144,Dry Food Manufacturing Procurement Transformation, Accomplished in manipulating data in multiple formats to find commercial value through reviewing category  supplier spend invoice compliance contract  payment terms Have developed cost savings mitigation and value creation trackers to clearly document category and supplier initiatives allowing for easy reporting and accountability against budgets  targets Led the redevelopment of a core noodle recipe used in both own label and branded product for improved texture and visual appearance by leading cross functional team to include category marketing product development operations commercial technical and procurement through to launch Headed up the analysis of group category data which led to the introduction of durum wheat based SKUs from Germany into the UK and group contracts for the UK and Italy for key milk powders and starches
145,Flexible Plastics and Papers for Primary Packaging, Knowledge of supply base for flexible plastic and paperplastic materials suitable for use in dry food manufacturing specifically UK  Europe Responsible for the sourcing trialing and introduction of recyclable paper based solutions for all flexible plastic materials used within three dry food manufacturing sites which meet current shelf life requirements of 1824 months and meet existing OPRL guidance Implemented a material specification change to remove 15 tonnes of plastic across a key dry food category whilst maintaining product integrity and lowering unit cost Introduced additional suppliers into the flexible lidding category and flexible bagged category to create competition take advantage of material innovation development and lower costs
146,Procurement of Corrugate for Dry Blended Food Secondary Packaging, Knowledgeable of the supply base across UK and Europe Led operational review of corrugate category to simplify key profiles  material types without comprising pack integrity  operational efficiencies Led continuous improvement workshops with key suppliers operational and supply chain stakeholders leading to redevelopment of key shelf ready packaging SKUs which allowed for specific production line efficiency improvements improved pack integrity  lower costs whilst encouraging collaboration and innovation
147,Strategic Programme Design for GNFR Savings and & GFR Margin Improvement, 30 years practical experience of designing and delivering sustainable procurementbuying programmes that drive stepchange value improve governance and manage risks  Savings and margin improvement made across all major categories
148,Delivering Procurement Transformation: Step-Changing Performance, 30 years of practical experience in the designing and delivery of sustainable procurementbuying transformation programmes that drive value improve governance and manage risks   Major clients include John Lewis Waitrose Costa Coffee Sainsburys CBRE Lomond Travelodge Premier Inn etc
149,Contract Management & SRM Excellence: Driving Supplier Performance, Designed and implemented contract management best practice and SRM across large blue chips as well as SMEs Delivered creative and sustainable solutions to supplier and contractual issues Experience of stepchanging category performance
150,Greenfield Procurement Services: Launching Effective Functions, Significant proven expertise in helping companies that have no or immature Procurement functions to start their journey and drive value Pragmatic solutions to centralised and decentralised Procurement functions Strategies designed and delivered for major clients Vast experience of Greenfield Procurement setup and mentoring Clients included Costa Coffee Travelodge Fortnum and Mason Lomond Property Group John Lewis CBRE Waitrose etc
151,Complex Goods & Services Sourcing: Strategies & Solutions, 30 years of commercial and problem solving skills to source difficult and nuanced categories  Driving value form strategic sourcing  Tailored tendering RFI RFP solutions  Sustainable measurable savings  Huge variety of categories covered
152,Incorporating Sustainability & Diversity in Tenders and Supplier Selection, ESG supplier selection criteria introduced to key clients Suppliers vetted for ESG credentials Aligning ESG criteria to the overall business ESG strategy Total Lifecycle Costing TLC Relevant clients include Costa Coffee John Lewis Waitrose CBRE Premier Inn
153,Contract Management Best Practice to Step-Change Risk Management, Designed and implemented entire processes and governance for the management of contractual risk Highly tailored and practical solutions 30 years of reviewing commercial contracts and clauses Significant supplier dispute resolution and relationship resetting experience Stepchanging the management of contractual risk across a variety of clients including Costa Coffee Waitrose John Lewis Sainsburys
154,Developing & Executing effective IT Cost Out strategies, Having operated at Head OfDirector Of Procurement level during career highly experienced over 20 years in successfully delivering sourcing events incl full RFP processes negotiations and cost out activity for major businessesExamples of previous delivery include Reduced costs by 2m for a leading Trade Show  Exhibitions business FTSE250 undertaking a Global IT Transformation Programme Systems and implementation services secured included CRM HR and ERP SaaS Microsoft  Secured multimillion improvement in previously offered terms for FTSE100 client Restructured agreements including Managed Services Tier 1 Provider and Global Telephony VOIP for FTSE100 client delivering multimillion in year savings Following a major Global Cyber Security Incident FTSE100 engaged and successfully delivered sourcing of Global Security Operations Centre Outsourced advanced security technology and professional services Following this success this client has subsequently reengaged me to successfully deliver another Global Transformation Programme Delivery of multimillion annual benefits outsourcing Data Centre and Fund Administration for a major player within Financial Services Regularly secure commercial flexibility for clients to help minimise potential of paying for undeployed licencesservices this is a common risk on major global implementations and reduce risk during implementations Prior to becoming a consultant managed an opportunity assessment and then formed and subsequently led the Greenfield Indirect Procurement function all indirect spend categories excluding real estate for a major retailer playing a pivotal role in taking out 30 from their annual Opex spend In the past 10 years since becoming a consultant all clients to date have either extended engagements on increased scope andor engaged on multiple occasions as of March 2024
